,adaptor_angle,base_diameter,base_type,blind_hole,bolt_pattern_long,bolt_pattern_wide,component_group_id,component_id,component_type_id,corresponding_shell,coupling_class,diameter,drop_length,elbow_angle,extension_length,groove,head_diameter,height_over_tube,hex_nut_size,hex_size,hose_diameter,intended_nut_pitch,intended_nut_thread,material,mj_class_code,mj_plug_class_code,orientation,outside_shape,overall_length,part_name,plating,plug_diameter,seat_angle,shoulder_diameter,thickness,type,unique_feature,weight,nominal_sizes,lengths,thread_sizes,connection_types,end_forms,thread_pitches,max_length,min_thread_pitch,min_thread_size
0,,,,,0,0,threaded,C-0007,CP-014,,,,,,,FALSE,,,,12.7,,,,,,,FALSE,,24.4,,,,,,0,,FALSE,0.028,"(6.3499999999999996,)",(),"(0.43700000000000006,)","('B-001',)","('A-001', 'A-004')","(20.0,)",0,20,0.437
1,90,,,,0,0,threaded,C-0030,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.914,"('42', 42.0)","(47.0, 47.0)",(),(),"('A-003', 'A-003')",(),47,9999,9999
2,,,,,0,0,threaded,C-0041,CP-014,,,,,,,FALSE,,,,32,,,,,,,FALSE,,28,,,,,,0,,FALSE,0.12,"('21.7',)",(),"(0.81200000000000006,)","('B-002',)","('A-004', 'A-001')","(16.0,)",0,16,0.812
3,,,,,0,0,threaded,C-0043,CP-014,,,,,,,FALSE,,,,27,,,,,,,FALSE,,38,,,,,,0,,FALSE,0.09,"('21.7',)",(),"(0.81200000000000006,)","('B-002',)","('A-003', 'A-001')","(16.0,)",0,16,0.812
4,,,,,0,0,threaded,C-0044,CP-014,,,,,,,FALSE,,,,41.28,,,,,,,FALSE,,30.5,,,,,,0,,FALSE,0.182,"('34',)",(),"(1.4369999999999998,)","('B-002',)","('A-004', 'A-001')","(12.0,)",0,12,1.437
5,90,,,,0,0,threaded,C-0069,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,TRUE,0.216,"(17.300000000000001,)","(29.0, 16.0)","(0.81200000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",29,16,0.812
6,90,,,,0,0,threaded,C-0070,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.178,"('21.7',)","(30.0, 27.0)","(0.81200000000000006,)","('B-002',)","('A-003', 'A-001')","(16.0,)",30,16,0.812
7,90,,,,0,0,threaded,C-0072,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.29,"('21.7',)","(30.0, 33.5)","(1.0,)","('B-002',)","('A-003', 'A-001')","(14.0,)",33.5,14,1
8,90,,,,0,0,threaded,C-0073,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.537,"('22.22',)","(21.0, 35.0)","(1.0,)","('B-002',)","('A-004', 'A-001')","(14.0,)",35,14,1
9,,,,,0,0,threaded,C-0074,CP-014,,,,,,,FALSE,,,,27,,,,,,,FALSE,,40.5,,,,,,0,,FALSE,0.134,"('21.7',)",(),"(1.0,)","('B-002',)","('A-003', 'A-001')","(14.0,)",0,14,1
10,,,,,0,0,threaded,C-0077,CP-014,,,,,,,FALSE,,,,27.2,,,,,,,FALSE,,23,,,,,,0,,FALSE,0.066,"('17.14',)",(),"(0.81200000000000006,)","('B-002',)","('A-004', 'A-001')","(16.0,)",0,16,0.812
