,component_id,component_end_form
0,C-0007,"['A-001', 'A-004']"
1,C-0030,"['A-003', 'A-003']"
2,C-0041,"['A-004', 'A-001']"
3,C-0043,"['A-003', 'A-001']"
4,C-0044,"['A-004', 'A-001']"
5,C-0069,"['A-001', 'A-004']"
6,C-0070,"['A-003', 'A-001']"
7,C-0072,"['A-003', 'A-001']"
8,C-0073,"['A-004', 'A-001']"
9,C-0074,"['A-003', 'A-001']"
10,C-0077,"['A-004', 'A-001']"
11,C-0078,"['A-005', 'A-004']"
12,C-0119,"['A-001', 'A-004']"
13,C-0133,"['A-006', 'A-004']"
14,C-0159,"['A-003', 'A-003', 'A-001']"
15,C-0173,"['A-003', 'A-001']"
16,C-0178,"['A-007', 'A-004']"
17,C-0179,"['A-001', 'A-004']"
18,C-0180,"['A-001', 'A-004']"
19,C-0181,"['A-001', 'A-004']"
20,C-0182,"['A-001', 'A-004']"
21,C-0189,"['A-001', 'A-004']"
22,C-0210,"['A-001', 'A-004']"
23,C-0211,"['A-001', 'A-004']"
24,C-0212,"['A-001', 'A-004']"
25,C-0216,"['A-001', 'A-004']"
26,C-0217,"['A-001', 'A-004']"
27,C-0218,"['A-001', 'A-004']"
28,C-0223,"['A-004', 'A-004', 'A-001']"
29,C-0240,"['A-001', 'A-004']"
30,C-0253,"['A-004', 'A-001']"
31,C-0263,"['A-006', 'A-004']"
32,C-0264,"['A-006', 'A-004']"
33,C-0272,"['A-001', 'A-004']"
34,C-0318,"['A-001', 'A-004']"
35,C-0338,"['A-003', 'A-001']"
36,C-0339,"['A-003', 'A-003', 'A-001']"
37,C-0363,"['A-006', 'A-004']"
38,C-0369,"['A-001', 'A-001', 'A-004']"
39,C-0371,"['A-003', 'A-001', 'A-001']"
40,C-0386,"['A-001', 'A-004']"
41,C-0388,"['A-006', 'A-004']"
42,C-0389,"['A-006', 'A-004']"
43,C-0399,"['A-004', 'A-004', 'A-001']"
44,C-0409,"['A-005', 'A-004']"
45,C-0410,"['A-005', 'A-004']"
46,C-0413,"['A-001', 'A-004']"
47,C-0414,"['A-001', 'A-004']"
48,C-0415,"['A-001', 'A-004']"
49,C-0417,"['A-005', 'A-004']"
50,C-0418,"['A-004', 'A-001']"
51,C-0419,"['A-005', 'A-004']"
52,C-0420,"['A-004', 'A-001']"
53,C-0421,"['A-001', 'A-004']"
54,C-0487,"['A-001', 'A-001', 'A-004']"
55,C-0488,"['A-001', 'A-001', 'A-004']"
56,C-0503,"['A-004', 'A-001']"
57,C-0518,"['A-001', 'A-004']"
58,C-0521,"['A-004', 'A-001']"
59,C-0545,"['A-004', 'A-005']"
60,C-0550,"['A-001', 'A-004']"
61,C-0584,"['A-001', 'A-004']"
62,C-0596,"['A-006', 'A-004']"
63,C-0600,"['A-006', 'A-001', 'A-004']"
64,C-0605,"['A-004', 'A-007', 'A-001', 'A-001']"
65,C-0607,"['A-001', 'A-001', 'A-004']"
66,C-0638,"['A-004', 'A-006']"
67,C-0651,"['A-001', 'A-004']"
68,C-0683,"['A-001', 'A-004']"
69,C-0702,"['A-006', 'A-004']"
70,C-0740,"['A-004', 'A-006']"
71,C-0768,"['A-001', 'A-004', 'A-001']"
72,C-0769,"['A-004', 'A-001']"
73,C-0775,"['A-004', 'A-006']"
74,C-0805,"['A-004', 'A-001', 'A-006']"
75,C-0806,"['A-004', 'A-001', 'A-001']"
76,C-0807,"['A-001', 'A-001', 'A-004']"
77,C-0826,"['A-004', 'A-001']"
78,C-0832,"['A-001', 'A-004']"
79,C-0833,"['A-001', 'A-004']"
80,C-0882,"['A-004', 'A-005']"
81,C-0895,"['A-001', 'A-004']"
82,C-0900,"['A-001', 'A-004']"
83,C-0911,"['A-003', 'A-001']"
84,C-0912,"['A-003', 'A-001']"
85,C-0938,"['A-001', 'A-003']"
86,C-0945,"['A-001', 'A-003']"
87,C-0947,"['A-001', 'A-003']"
88,C-0948,"['A-001', 'A-003']"
89,C-0949,"['A-001', 'A-003']"
90,C-0971,"['A-001', 'A-001', 'A-003']"
91,C-0974,"['A-006', 'A-004']"
92,C-1067,"['A-006', 'A-004']"
93,C-1072,"['A-004', 'A-001']"
94,C-1078,"['A-001', 'A-004']"
95,C-1209,"['A-001', 'A-004']"
96,C-1218,"['A-006', 'A-004']"
97,C-1219,"['A-005', 'A-004']"
98,C-1221,"['A-004', 'A-001']"
99,C-1238,"['A-006', 'A-004']"
100,C-1338,"['A-003', 'A-001']"
101,C-1393,"['A-004', 'A-007']"
102,C-1423,"['A-003', 'A-001']"
103,C-1441,"['A-001', 'A-003']"
104,C-1445,"['A-004', 'A-001']"
105,C-1468,"['A-001', 'A-004']"
106,C-1469,"['A-001', 'A-004']"
107,C-1470,"['A-001', 'A-004']"
108,C-1475,"['A-001', 'A-004']"
109,C-1479,"['A-004', 'A-006']"
110,C-1486,"['A-001', 'A-004']"
111,C-1547,"['A-001', 'A-004']"
112,C-1578,"['A-006', 'A-004']"
113,C-1593,"['A-006', 'A-004']"
114,C-1637,"['A-001', 'A-004']"
115,C-1638,"['A-001', 'A-004']"
116,C-1639,"['A-001', 'A-004']"
117,C-1640,"['A-001', 'A-004']"
118,C-1641,"['A-001', 'A-004']"
119,C-1642,"['A-001', 'A-004']"
120,C-1643,"['A-001', 'A-004']"
121,C-1644,"['A-001', 'A-004']"
122,C-1645,"['A-001', 'A-004']"
123,C-1646,"['A-001', 'A-004']"
124,C-1647,"['A-001', 'A-004']"
125,C-1648,"['A-001', 'A-004']"
126,C-1649,"['A-001', 'A-004']"
127,C-1650,"['A-001', 'A-004']"
128,C-1700,"['A-003', 'A-005']"
129,C-1701,"['A-005', 'A-003']"
130,C-1702,"['A-003', 'A-005']"
131,C-1704,"['A-005', 'A-003']"
132,C-1710,"['A-006', 'A-004']"
133,C-1714,"['A-005', 'A-004']"
134,C-1715,"['A-005', 'A-004']"
135,C-1716,"['A-001', 'A-004']"
136,C-1718,"['A-001', 'A-004']"
137,C-1722,"['A-001', 'A-004']"
138,C-1723,"['A-006', 'A-004']"
139,C-1724,"['A-001', 'A-004']"
140,C-1727,"['A-004', 'A-006']"
141,C-1728,"['A-006', 'A-004']"
142,C-1743,"['A-001', 'A-004']"
143,C-1758,"['A-006', 'A-004']"
144,C-1761,"['A-006', 'A-004']"
145,C-1767,"['A-003', 'A-001']"
146,C-1776,"['A-005', 'A-003']"
147,C-1777,"['A-003', 'A-001']"
148,C-1778,"['A-004', 'A-001']"
149,C-1779,"['A-005', 'A-003']"
150,C-1781,"['A-003', 'A-001']"
151,C-1789,"['A-001', 'A-004']"
152,C-1790,"['A-003', 'A-001']"
153,C-1802,"['A-004', 'A-001']"
154,C-1808,"['A-004', 'A-005']"
155,C-1836,"['A-001', 'A-001', 'A-004']"
156,C-1837,"['A-001', 'A-001', 'A-004']"
157,C-1840,"['A-005', 'A-004']"
158,C-1841,"['A-001', 'A-004']"
159,C-1864,"['A-005', 'A-004']"
160,C-1869,"['A-005', 'A-004']"
161,C-1870,"['A-001', 'A-004']"
162,C-1873,"['A-001', 'A-004']"
163,C-1877,"['A-006', 'A-004']"
164,C-1879,"['A-001', 'A-004']"
165,C-1885,"['A-001', 'A-004']"
166,C-1888,"['A-004', 'A-001']"
167,C-1889,"['A-001', 'A-004']"
168,C-1892,"['A-004', 'A-001']"
169,C-1902,"['A-001', 'A-004']"
170,C-1903,"['A-001', 'A-004']"
171,C-1906,"['A-004', 'A-005']"
172,C-1907,"['A-006', 'A-004']"
173,C-1908,"['A-006', 'A-004']"
174,C-1909,"['A-006', 'A-004']"
175,C-1910,"['A-006', 'A-004']"
176,C-1911,"['A-006', 'A-004']"
177,C-1912,"['A-001', 'A-004', 'A-001']"
178,C-1913,"['A-006', 'A-004']"
179,C-1936,"['A-007', 'A-004']"
180,C-1976,"['A-005', 'A-004']"
181,C-1994,"['A-004', 'A-001']"
182,C-1995,"['A-004', 'A-001']"
183,C-1998,"['A-004', 'A-005']"
184,C-2001,"['A-006', 'A-004']"
185,C-2002,"['A-004', 'A-005']"
186,C-2003,"['A-006', 'A-004']"
187,C-2004,"['A-001', 'A-004']"
188,C-2005,"['A-001', 'A-004']"
189,C-2006,"['A-004', 'A-005']"
190,C-2007,"['A-006', 'A-004']"
191,C-2008,"['A-005', 'A-004']"
192,C-2032,"['A-004', 'A-001']"
193,C-2033,"['A-006', 'A-004']"
194,C-0001,[]
195,C-0002,[]
196,C-0003,[]
197,C-0048,[]
198,C-0049,[]
199,C-0050,[]
200,C-0051,[]
201,C-0052,[]
202,C-0053,[]
203,C-0058,[]
204,C-0059,[]
205,C-0060,[]
206,C-0096,[]
207,C-0101,[]
208,C-0186,[]
209,C-0226,[]
210,C-0228,[]
211,C-0309,[]
212,C-0391,[]
213,C-0445,[]
214,C-0449,[]
215,C-0830,[]
216,C-1035,[]
217,C-1074,[]
218,C-1244,[]
219,C-1332,[]
220,C-1420,[]
221,C-1443,[]
222,C-1627,[]
223,C-1628,[]
224,C-1629,[]
225,C-1630,[]
226,C-1631,[]
227,C-1632,[]
228,C-1633,[]
229,C-1635,[]
230,C-1652,[]
231,C-1653,[]
232,C-1654,[]
233,C-1655,[]
234,C-1656,[]
235,C-1657,[]
236,C-1658,[]
237,C-1659,[]
238,C-1660,[]
239,C-1661,[]
240,C-1703,[]
241,C-1846,[]
242,C-1866,[]
243,C-2035,[]
244,C-0005,"['A-001', 'A-001']"
245,C-0006,"['A-001', 'A-001']"
246,C-1435,"['A-007', 'A-001']"
247,C-1546,"['A-007', 'A-001']"
248,C-1583,"['A-001', 'A-007']"
249,C-1634,"['A-001', 'A-001']"
250,C-1975,"['A-007', 'A-001']"
251,C-0428,"['A-001', 'A-007']"
252,C-0443,"['A-007', '9999']"
253,C-0823,"['A-007', 'A-001']"
254,C-0354,"['A-001', 'A-007']"
255,C-0361,"['A-005', 'A-006']"
256,C-1312,"['A-002', '9999']"
257,C-1313,"['A-007', 'A-001']"
258,C-1194,"['A-007', 'A-007']"
259,C-1195,"['A-007', 'A-007']"
260,C-1196,"['A-007', 'A-007']"
261,C-1197,"['A-007', 'A-007']"
262,C-1198,"['A-007', 'A-007']"
263,C-1229,"['A-007', 'A-001']"
264,C-1230,"['A-007', 'A-001']"
265,C-1695,"['A-001', 'A-007']"
266,C-1812,"['A-007', 'A-007']"
267,C-1828,"['A-001', 'A-007']"
268,C-1868,"['A-001', 'A-001']"
269,C-1621,[]
270,C-1624,[]
271,C-1623,[]
272,C-1622,[]
273,C-1625,[]
274,C-1626,[]
275,C-1620,[]
