,adaptor_angle,base_diameter,base_type,blind_hole,bolt_pattern_long,bolt_pattern_wide,component_group_id,component_id,component_type_id,corresponding_shell,coupling_class,diameter,drop_length,elbow_angle,extension_length,groove,head_diameter,height_over_tube,hex_nut_size,hex_size,hose_diameter,intended_nut_pitch,intended_nut_thread,material,mj_class_code,mj_plug_class_code,orientation,outside_shape,overall_length,part_name,plating,plug_diameter,seat_angle,shoulder_diameter,thickness,type,unique_feature,weight,component_thread_pitch,component_connection_type,component_nominal_size,component_length,component_thread_size,component_end_form
0,,,,,0.0,0.0,threaded,C-0007,CP-014,,,,,,,,,,,12.7,,,,,,,No,,24.4,,,,,,0.0,,No,0.028,20.0,['B-001'],[6.35],0.0,0.437,"['A-001', 'A-004']"
1,90.0,,,,0.0,0.0,threaded,C-0030,CP-015,,,,,,,,,,,,,,,,,,Yes,,0.0,,,,,,0.0,,No,0.914,9999.0,[],"['42', 42.0]",47.0,9999.0,"['A-003', 'A-003']"
2,,,,,0.0,0.0,threaded,C-0041,CP-014,,,,,,,,,,,32.0,,,,,,,No,,28.0,,,,,,0.0,,No,0.12,16.0,['B-002'],['21.7'],0.0,0.812,"['A-004', 'A-001']"
3,,,,,0.0,0.0,threaded,C-0043,CP-014,,,,,,,,,,,27.0,,,,,,,No,,38.0,,,,,,0.0,,No,0.09,16.0,['B-002'],['21.7'],0.0,0.812,"['A-003', 'A-001']"
4,,,,,0.0,0.0,threaded,C-0044,CP-014,,,,,,,,,,,41.28,,,,,,,No,,30.5,,,,,,0.0,,No,0.182,12.0,['B-002'],['34'],0.0,1.437,"['A-004', 'A-001']"
5,90.0,,,,0.0,0.0,threaded,C-0069,CP-015,,,,,,,,,,,,,,,,,,Yes,,0.0,,,,,,0.0,,Yes,0.216,16.0,['B-002'],[17.3],29.0,0.812,"['A-001', 'A-004']"
6,90.0,,,,0.0,0.0,threaded,C-0070,CP-015,,,,,,,,,,,,,,,,,,Yes,,0.0,,,,,,0.0,,No,0.178,16.0,['B-002'],['21.7'],30.0,0.812,"['A-003', 'A-001']"
7,90.0,,,,0.0,0.0,threaded,C-0072,CP-015,,,,,,,,,,,,,,,,,,Yes,,0.0,,,,,,0.0,,No,0.29,14.0,['B-002'],['21.7'],33.5,1.0,"['A-003', 'A-001']"
8,90.0,,,,0.0,0.0,threaded,C-0073,CP-015,,,,,,,,,,,,,,,,,,Yes,,0.0,,,,,,0.0,,No,0.537,14.0,['B-002'],['22.22'],35.0,1.0,"['A-004', 'A-001']"
9,,,,,0.0,0.0,threaded,C-0074,CP-014,,,,,,,,,,,27.0,,,,,,,No,,40.5,,,,,,0.0,,No,0.134,14.0,['B-002'],['21.7'],0.0,1.0,"['A-003', 'A-001']"
10,,,,,0.0,0.0,threaded,C-0077,CP-014,,,,,,,,,,,27.2,,,,,,,No,,23.0,,,,,,0.0,,No,0.066,16.0,['B-002'],['17.14'],0.0,0.812,"['A-004', 'A-001']"
