,adaptor_angle,base_diameter,base_type,blind_hole,bolt_pattern_long,bolt_pattern_wide,component_group_id,component_id,component_type_id,connection_type_id,connection_type_id_1,connection_type_id_2,connection_type_id_3,connection_type_id_4,corresponding_shell,coupling_class,diameter,drop_length,elbow_angle,end_form_id_1,end_form_id_2,end_form_id_3,end_form_id_4,extension_length,groove,head_diameter,height_over_tube,hex_nut_size,hex_size,hose_diameter,intended_nut_pitch,intended_nut_thread,length,length_1,length_2,length_3,length_4,material,mj_class_code,mj_plug_class_code,nominal_size_1,nominal_size_2,nominal_size_3,nominal_size_4,orientation,outside_shape,overall_length,part_name,plating,plug_diameter,seat_angle,shoulder_diameter,thickness,thread_pitch,thread_pitch_1,thread_pitch_2,thread_pitch_3,thread_pitch_4,thread_size,thread_size_1,thread_size_2,thread_size_3,thread_size_4,type,unique_feature,weight
0,,,,,,,threaded,C-0007,CP-014,,B-001,,,,,,,,,A-001,A-004,,,,,,,,12.7,,,,,,,,,,,,,6.35,,,No,,24.4,,,,,,,,20.0,,,,,0.437,,,,,No,0.028
1,90.0,,,,,,threaded,C-0030,CP-015,,,,,,,,,,,A-003,A-003,,,,,,,,,,,,,47.0,47.0,,,,,,42,42.0,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.914
2,,,,,,,threaded,C-0041,CP-014,,,B-002,,,,,,,,A-004,A-001,,,,,,,,32.0,,,,,,,,,,,,21.7,,,,No,,28.0,,,,,,,,,16.0,,,,,0.812,,,,No,0.12
3,,,,,,,threaded,C-0043,CP-014,,,B-002,,,,,,,,A-003,A-001,,,,,,,,27.0,,,,,,,,,,,,21.7,,,,No,,38.0,,,,,,,,,16.0,,,,,0.812,,,,No,0.09
4,,,,,,,threaded,C-0044,CP-014,,,B-002,,,,,,,,A-004,A-001,,,,,,,,41.28,,,,,,,,,,,,34,,,,No,,30.5,,,,,,,,,12.0,,,,,1.437,,,,No,0.182
5,90.0,,,,,,threaded,C-0069,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,29.0,16.0,,,,,,,17.3,,,Yes,,,,,,,,,,16.0,,,,,0.812,,,,,Yes,0.216
6,90.0,,,,,,threaded,C-0070,CP-015,,,B-002,,,,,,,,A-003,A-001,,,,,,,,,,,,,30.0,27.0,,,,,,21.7,,,,Yes,,,,,,,,,,,16.0,,,,,0.812,,,,No,0.178
7,90.0,,,,,,threaded,C-0072,CP-015,,,B-002,,,,,,,,A-003,A-001,,,,,,,,,,,,,30.0,33.5,,,,,,21.7,,,,Yes,,,,,,,,,,,14.0,,,,,1.0,,,,No,0.29
8,90.0,,,,,,threaded,C-0073,CP-015,,,B-002,,,,,,,,A-004,A-001,,,,,,,,,,,,,21.0,35.0,,,,,,22.22,,,,Yes,,,,,,,,,,,14.0,,,,,1.0,,,,No,0.537
9,,,,,,,threaded,C-0074,CP-014,,,B-002,,,,,,,,A-003,A-001,,,,,,,,27.0,,,,,,,,,,,,21.7,,,,No,,40.5,,,,,,,,,14.0,,,,,1.0,,,,No,0.134
10,,,,,,,threaded,C-0077,CP-014,,,B-002,,,,,,,,A-004,A-001,,,,,,,,27.2,,,,,,,,,,,,17.14,,,,No,,23.0,,,,,,,,,16.0,,,,,0.812,,,,No,0.066
11,,,,,,,threaded,C-0078,CP-014,,B-002,,,,,,,,,A-005,A-004,,,,,,,,27.0,,,,,,,,,,,,,17.14,,,No,,32.0,,,,,,,,16.0,,,,,0.812,,,,,No,0.07
12,90.0,,,,,,threaded,C-0119,CP-015,,B-003,,,,,,,,,A-001,A-004,,,,,,,,,,,,,44.0,15.0,,,,,,,9.52,,,Yes,,,,,,,,,,18.0,,,,,0.625,,,,,No,0.205
13,,,,,,,threaded,C-0133,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,,,,,,,,,,,,,,12.7,,,No,,70.0,,,,,,,,16.0,,,,,0.812,,,,,Yes,0.142
14,,,,,,,threaded,C-0159,CP-016,,,,B-002,,,,,,,A-003,A-003,A-001,,,,,,,,,,,,35.5,35.5,42.0,,,,,42.7,34.0,,,Yes,,,,,,,,,,,,12.0,,,,,1.437,,,No,0.667
15,,,,,,,threaded,C-0173,CP-014,,,B-005,,,,,,,,A-003,A-001,,,,,,,,31.75,,,,,,,,,,,,27.2,,,,No,,43.5,,,,,,,,,12.0,,,,,1.062,,,,No,0.14
