,tube_assembly_id,physical_volume,material_volume
0,TA-00001,20775.006643,11381.2362017
1,TA-00001,20775.006643,11381.2362017
2,TA-00001,20775.006643,11381.2362017
3,TA-00001,20775.006643,11381.2362017
4,TA-00001,20775.006643,11381.2362017
5,TA-00001,20775.006643,11381.2362017
6,TA-00001,20775.006643,11381.2362017
7,TA-00001,20775.006643,11381.2362017
8,TA-00003,4021.99061534,2424.30602534
9,TA-00003,4021.99061534,2424.30602534
10,TA-00003,4021.99061534,2424.30602534
11,TA-00003,4021.99061534,2424.30602534
12,TA-00003,4021.99061534,2424.30602534
13,TA-00003,4021.99061534,2424.30602534
14,TA-00003,4021.99061534,2424.30602534
15,TA-00003,4021.99061534,2424.30602534
16,TA-00006,22516.8136024,17035.7786873
17,TA-00006,22516.8136024,17035.7786873
18,TA-00006,22516.8136024,17035.7786873
19,TA-00006,22516.8136024,17035.7786873
20,TA-00006,22516.8136024,17035.7786873
21,TA-00006,22516.8136024,17035.7786873
22,TA-00006,22516.8136024,17035.7786873
23,TA-00006,22516.8136024,17035.7786873
24,TA-00007,25588.7276944,14018.351907
25,TA-00007,25588.7276944,14018.351907
26,TA-00007,25588.7276944,14018.351907
27,TA-00007,25588.7276944,14018.351907
28,TA-00007,25588.7276944,14018.351907
29,TA-00007,25588.7276944,14018.351907
30,TA-00007,25588.7276944,14018.351907
31,TA-00007,25588.7276944,14018.351907
32,TA-00008,5510.44383519,3321.49014495
33,TA-00008,5510.44383519,3321.49014495
34,TA-00008,5510.44383519,3321.49014495
35,TA-00008,5510.44383519,3321.49014495
36,TA-00008,5510.44383519,3321.49014495
37,TA-00008,5510.44383519,3321.49014495
38,TA-00008,5510.44383519,3321.49014495
39,TA-00008,5510.44383519,3321.49014495
40,TA-00009,68405.5096782,51785.502793
41,TA-00011,6238.83583639,3760.53769285
42,TA-00015,18621.4998568,13767.4178221
43,TA-00016,50164.0404307,37976.0353815
44,TA-00016,50164.0404307,37976.0353815
45,TA-00016,50164.0404307,37976.0353815
46,TA-00016,50164.0404307,37976.0353815
47,TA-00016,50164.0404307,37976.0353815
48,TA-00016,50164.0404307,37976.0353815
49,TA-00016,50164.0404307,37976.0353815
50,TA-00016,50164.0404307,37976.0353815
51,TA-00017,46617.088077,35290.8611626
52,TA-00017,46617.088077,35290.8611626
53,TA-00017,46617.088077,35290.8611626
54,TA-00018,41043.3058069,31071.3016758
55,TA-00020,2565.20661293,162.860163162
56,TA-00023,3701.40938481,2679.55862203
57,TA-00026,24321.9589967,18412.6232153
58,TA-00026,24321.9589967,18412.6232153
59,TA-00026,24321.9589967,18412.6232153
60,TA-00026,24321.9589967,18412.6232153
61,TA-00026,24321.9589967,18412.6232153
62,TA-00029,18617.3871979,13256.4528566
63,TA-00029,18617.3871979,13256.4528566
64,TA-00029,18617.3871979,13256.4528566
65,TA-00029,18617.3871979,13256.4528566
66,TA-00029,18617.3871979,13256.4528566
67,TA-00029,18617.3871979,13256.4528566
68,TA-00029,18617.3871979,13256.4528566
69,TA-00029,18617.3871979,13256.4528566
70,TA-00030,6050.38072518,3999.36211615
71,TA-00030,6050.38072518,3999.36211615
72,TA-00030,6050.38072518,3999.36211615
73,TA-00030,6050.38072518,3999.36211615
74,TA-00032,6967.22783759,5151.07469535
75,TA-00033,6335.10452401,4586.16764155
76,TA-00033,6335.10452401,4586.16764155
77,TA-00033,6335.10452401,4586.16764155
78,TA-00033,6335.10452401,4586.16764155
79,TA-00033,6335.10452401,4586.16764155
80,TA-00033,6335.10452401,4586.16764155
81,TA-00033,6335.10452401,4586.16764155
82,TA-00033,6335.10452401,4586.16764155
83,TA-00035,20003.7883722,14243.6355162
84,TA-00035,20003.7883722,14243.6355162
85,TA-00035,20003.7883722,14243.6355162
86,TA-00035,20003.7883722,14243.6355162
87,TA-00035,20003.7883722,14243.6355162
88,TA-00036,5267.39027839,3481.797607
89,TA-00036,5267.39027839,3481.797607
90,TA-00036,5267.39027839,3481.797607
91,TA-00036,5267.39027839,3481.797607
92,TA-00036,5267.39027839,3481.797607
93,TA-00036,5267.39027839,3481.797607
94,TA-00036,5267.39027839,3481.797607
95,TA-00036,5267.39027839,3481.797607
96,TA-00038,5409.75217781,2958.34481074
